Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Austin Rivers\riverau01,0.442,4,0.371,0.491,0.691,0.3,2.2,2.8,0.6,0.1,12
Avery Bradley\bradlav01,0.463,5,0.39,0.504,0.731,1.2,6.1,2.2,1.2,0.2,16.3
Ben McLemore\mclembe01,0.43,2.8,0.382,0.462,0.753,0.3,2.1,0.8,0.5,0.1,8.1
Bradley Beal\bealbr01,0.482,7.2,0.404,0.538,0.825,0.7,3.1,3.5,1.1,0.3,23.1
Brandon Knight\knighbr03,0.398,2.6,0.324,0.425,0.857,0.5,2.2,2.4,0.5,0.1,11
Brandon Rush\rushbr01,0.374,2.4,0.386,0.356,0.722,0.3,2.1,1,0.5,0.5,4.2
Buddy Hield\hieldbu01,0.426,4.6,0.391,0.461,0.842,0.4,3.3,1.5,0.5,0.1,10.6
CJ McCollum\mccolcj01,0.48,5.5,0.421,0.506,0.912,0.8,3.6,3.6,0.9,0.5,23
Courtney Lee\leeco01,0.456,3.5,0.401,0.49,0.867,0.7,3.4,2.3,1.1,0.3,10.8
Danny Green\greenda02,0.392,4.6,0.379,0.42,0.844,0.5,3.3,1.8,1,0.8,7.3
DeAndre Liggins\liggide01,0.387,0.7,0.37,0.396,0.625,0.3,1.7,0.9,0.8,0.2,2.5
DeMar DeRozan\derozde01,0.467,1.7,0.266,0.484,0.842,0.9,5.2,3.9,1.1,0.2,27.3
Denzel Valentine\valende01,0.354,3.6,0.351,0.363,0.778,0.2,2.6,1.1,0.5,0.1,5.1
Devin Booker\bookede01,0.423,5.2,0.363,0.447,0.832,0.6,3.2,3.4,0.9,0.3,22.1
Dion Waiters\waitedi01,0.424,4.7,0.395,0.438,0.646,0.4,3.3,4.3,0.9,0.4,15.8
Dwyane Wade\wadedw01,0.434,2.4,0.31,0.456,0.794,1.1,4.5,3.8,1.4,0.7,18.3
E'Twaun Moore\mooreet01,0.457,2.8,0.37,0.501,0.77,0.5,2.1,2.2,0.7,0.4,9.6
Eric Gordon\gordoer01,0.406,8.8,0.372,0.468,0.84,0.4,2.7,2.5,0.6,0.5,16.2
