FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.407,7.3,0.369,0.504,0.85,0.4,3.2,0.6,0.6,0.4,12.1
0.448,2.6,0.318,0.533,0.763,0.1,1.7,1.5,0.4,0.1,7.4
0.46,6.6,0.42,0.504,0.904,0.1,2.5,3,0.5,0.1,17.1
0.403,4.8,0.375,0.453,0.696,0.4,2.9,1.8,0.9,0.1,8.3
0.415,3.9,0.331,0.477,0.903,0.3,1.2,2.3,0.5,0.1,10.3
0.449,10,0.367,0.531,0.858,0.6,5.4,8.8,1.8,0.7,30.4
0.383,2.3,0.348,0.487,0.889,0.1,0.9,1.2,0.8,0.3,3.3
0.465,4.4,0.395,0.507,0.644,0.9,4.9,1.6,1,0.4,14.5
0.457,3.2,0.37,0.495,0.861,0.6,4.1,2.3,0.8,0.4,12.9
0.416,3.7,0.37,0.474,0.795,0.4,2.1,1.4,0.6,0.2,7.9
0.474,3.4,0.35,0.509,0.854,1.3,5.3,4.9,2,0.4,22.2
0.399,2.7,0.343,0.464,0.863,0.2,1.6,0.9,0.4,0.1,6.3
0.491,4.6,0.419,0.589,0.827,0.7,3.3,1.6,0.4,0.3,10.8
0.465,3,0.338,0.512,0.768,0.9,3.5,2.5,0.8,0.2,13.9
0.451,3.9,0.352,0.5,0.8,0.7,2.7,2.7,0.7,0.1,13.9
0.469,3.1,0.396,0.551,0.702,0.7,4.2,1.3,0.7,0.3,7.9
0.494,4.4,0.337,0.557,0.786,0.8,4.5,6,1.5,0.8,19
0.371,6.2,0.359,0.387,0.823,0.4,4,2.1,1.1,0.4,12.2
0.42,4.2,0.394,0.438,0.796,0.4,3.8,3.5,1.5,0.7,12.9
0.426,5.6,0.383,0.473,0.789,0.8,5.2,2.2,1.4,0.2,13.4
0.488,7.1,0.44,0.526,0.837,0.4,3.8,2.5,0.8,0.5,20
0.459,5.2,0.436,0.537,0.889,0.1,2.3,1.2,0.4,0.4,9.2
0.427,2.8,0.289,0.495,0.661,0.8,5.2,2.9,0.6,0.2,9.2
0.371,3.8,0.344,0.418,0.805,0.2,1.6,1,0.6,0.1,6.2
0.435,6.6,0.359,0.484,0.88,0.5,2.5,5.3,1.1,0.2,22.6
0.443,2.7,0.415,0.463,0.855,0.3,2.4,1.7,0.6,0.2,7.6
0.36,3.9,0.342,0.385,0.842,0.1,1,1.4,0.3,0.1,6.7
0.434,3,0.333,0.506,0.84,0.3,2.2,2.5,0.7,0.2,8.9
0.441,4.9,0.377,0.509,0.908,0.3,1.9,1.9,0.8,0.2,12.1
