,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
159,Justin Anderson\anderju01,0.424,2.6,0.299,0.522,0.7909999999999999,0.9,3.3,0.9,0.5,0.3,7.1,78
160,K.J. McDaniels\mcdankj01,0.456,1.3,0.303,0.5529999999999999,0.8420000000000001,0.3,1.7,0.3,0.4,0.4,4.2,78
161,Kawhi Leonard\leonaka01,0.485,5.2,0.38,0.529,0.88,1.1,5.8,3.5,1.8,0.7,25.5,79
162,Kelly Oubre\oubreke01,0.42100000000000004,2.4,0.287,0.52,0.758,0.8,3.3,0.6,0.7,0.2,6.3,79
163,Kent Bazemore\bazemke01,0.409,3.6,0.34600000000000003,0.446,0.708,0.6,3.2,2.4,1.2,0.7,11.0,77
164,Kyle Anderson\anderky01,0.445,0.6,0.375,0.462,0.789,0.5,2.9,1.3,0.7,0.4,3.4,81
165,Kyle Singler\singlky01,0.41,1.2,0.18899999999999997,0.5870000000000001,0.765,0.3,1.5,0.3,0.2,0.2,2.8,80
166,LeBron James\jamesle01,0.5479999999999999,4.6,0.363,0.611,0.674,1.3,8.6,8.7,1.2,0.6,26.4,80
167,Luc Mbah a Moute\mbahalu01,0.505,1.4,0.391,0.552,0.6779999999999999,0.6,2.1,0.5,1.0,0.4,6.1,80
168,Luke Babbitt\babbilu01,0.402,3.1,0.414,0.366,0.733,0.2,2.1,0.5,0.3,0.2,4.8,81
169,Luol Deng\denglu01,0.387,2.9,0.309,0.436,0.73,1.1,5.3,1.3,0.9,0.4,7.6,81
170,Marcus Morris\morrima03,0.418,4.5,0.331,0.466,0.784,1.0,4.6,2.0,0.7,0.3,14.0,81
171,Mario Hezonja\hezonma01,0.355,2.2,0.299,0.39799999999999996,0.8,0.3,2.2,1.0,0.5,0.2,4.9,80
172,Matt Barnes\barnema02,0.391,3.6,0.331,0.467,0.787,0.9,5.2,2.6,0.6,0.4,7.1,79
173,Maurice Harkless\harklma01,0.503,2.5,0.35100000000000003,0.5720000000000001,0.621,1.6,4.4,1.1,1.1,0.9,10.0,81
174,Michael Kidd-Gilchrist\kiddgmi01,0.47700000000000004,0.1,0.111,0.483,0.784,1.9,7.0,1.4,1.0,1.0,9.2,79
175,Mike Dunleavy\dunlemi02,0.423,2.5,0.396,0.465,0.8,0.3,2.2,0.9,0.3,0.1,5.2,81
176,Mindaugas Kuzminskas\kuzmimi01,0.428,2.5,0.321,0.517,0.809,0.7,1.9,1.0,0.4,0.2,6.3,81
177,Otto Porter\porteot01,0.516,4.3,0.434,0.5760000000000001,0.8320000000000001,1.5,6.4,1.5,1.5,0.5,13.4,80
178,P.J. Tucker\tuckepj01,0.413,2.4,0.35700000000000004,0.451,0.774,1.4,5.8,1.2,1.4,0.2,6.7,78
179,Paul George\georgpa01,0.461,6.6,0.39299999999999996,0.501,0.898,0.8,6.6,3.3,1.6,0.4,23.7,81
180,Paul Zipser\zipsepa01,0.39799999999999996,2.3,0.33299999999999996,0.451,0.775,0.3,2.8,0.8,0.3,0.4,5.5,80
181,Reggie Bullock\bullore01,0.42200000000000004,2.4,0.384,0.473,0.7140000000000001,0.4,2.1,0.9,0.6,0.1,4.5,79
182,Richard Jefferson\jefferi01,0.446,2.4,0.33299999999999996,0.58,0.741,0.4,2.6,1.0,0.3,0.1,5.7,79
183,Robert Covington\covinro01,0.39899999999999997,6.1,0.33299999999999996,0.484,0.8220000000000001,1.4,6.5,1.5,1.9,1.0,12.9,81
184,Rondae Hollis-Jefferson\holliro01,0.434,0.9,0.22399999999999998,0.46299999999999997,0.7509999999999999,1.2,5.8,2.0,1.1,0.6,8.7,79
185,Rudy Gay\gayru01,0.455,3.8,0.37200000000000005,0.483,0.855,1.2,6.3,2.8,1.5,0.9,18.7,80
186,Shabazz Muhammad\muhamsh01,0.48200000000000004,1.9,0.33799999999999997,0.528,0.774,1.1,2.8,0.4,0.3,0.1,9.9,78
187,Solomon Hill\hillso01,0.38299999999999995,3.4,0.348,0.428,0.805,0.6,3.8,1.8,0.9,0.4,7.0,79
188,Stanley Johnson\johnsst04,0.353,2.0,0.292,0.39799999999999996,0.679,0.5,2.5,1.4,0.7,0.3,4.4,79
189,T.J. Warren\warretj01,0.495,1.5,0.265,0.527,0.773,1.9,5.1,1.1,1.2,0.6,14.4,80
190,Taurean Waller-Prince\princta02,0.4,1.7,0.324,0.44299999999999995,0.787,0.4,2.7,0.9,0.7,0.5,5.7,80
191,Terrence Ross\rosste01,0.43700000000000006,5.0,0.363,0.518,0.831,0.2,2.6,1.1,1.1,0.4,11.0,79
192,Thabo Sefolosha\sefolth01,0.441,1.9,0.342,0.484,0.733,0.9,4.4,1.7,1.5,0.5,7.2,79
193,Timothe Luwawu-Cabarrot\luwawti01,0.402,2.3,0.311,0.475,0.8540000000000001,0.4,2.2,1.1,0.5,0.1,6.4,78
194,Trevor Ariza\arizatr01,0.409,6.9,0.344,0.556,0.738,0.7,5.7,2.2,1.8,0.3,11.7,80
195,Troy Williams\willitr02,0.43700000000000006,2.1,0.29,0.524,0.6559999999999999,0.5,2.3,0.8,0.9,0.3,6.2,79
196,Tyreke Evans\evansty01,0.405,3.0,0.35600000000000004,0.429,0.75,0.3,3.4,3.1,0.9,0.2,10.3,78
197,Vince Carter\cartevi01,0.39399999999999996,4.1,0.37799999999999995,0.418,0.765,0.5,3.1,1.8,0.8,0.5,8.0,78
198,Wesley Johnson\johnswe01,0.365,1.7,0.24600000000000002,0.537,0.647,0.4,2.7,0.3,0.4,0.4,2.7,79
199,Wilson Chandler\chandwi01,0.461,4.6,0.337,0.527,0.727,1.5,6.5,2.0,0.7,0.4,15.7,81
200,Abdel Nader\naderab01,0.336,1.4,0.354,0.321,0.59,0.3,1.5,0.5,0.3,0.2,3.0,78
201,Andre Iguodala\iguodan01,0.46299999999999997,1.8,0.282,0.5670000000000001,0.632,0.8,3.8,3.3,0.8,0.6,6.0,78
202,Andrew Wiggins\wiggian01,0.43799999999999994,4.1,0.331,0.475,0.643,1.0,4.4,2.0,1.1,0.6,17.7,80
203,Bojan Bogdanovic\bogdabo02,0.474,4.8,0.402,0.534,0.868,0.4,3.4,1.5,0.7,0.1,14.3,80
204,Brandon Ingram\ingrabr01,0.47,1.8,0.39,0.483,0.6809999999999999,1.0,5.3,3.9,0.8,0.7,16.1,81
