,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
192,Steven Adams\adamsst01,0.5710000000000001,0.0,0.0,0.5720000000000001,0.611,3.5,7.7,1.1,1.1,1.0,11.3,84
193,Tarik Black\blackta01,0.51,0.0,0.5,0.51,0.752,2.1,5.1,0.6,0.4,0.7,5.7,81
194,Timofey Mozgov\mozgoti01,0.515,0.0,0.0,0.517,0.8079999999999999,1.9,4.9,0.8,0.3,0.6,7.4,85
195,Tristan Thompson\thomptr01,0.6,0.0,0.0,0.604,0.498,3.7,9.2,1.0,0.5,1.1,8.1,82
196,Tyler Zeller\zellety01,0.494,0.0,0.0,0.49700000000000005,0.564,0.8,2.4,0.8,0.1,0.4,3.5,84
198,Willie Cauley-Stein\caulewi01,0.53,0.0,0.0,0.532,0.669,1.1,4.5,1.1,0.7,0.6,8.1,84
199,Willie Reed\reedwi02,0.568,0.1,0.25,0.573,0.557,1.8,4.7,0.4,0.3,0.7,5.3,82
200,Willy Hernangomez\hernawi01,0.529,0.2,0.267,0.5379999999999999,0.728,2.4,7.0,1.3,0.6,0.5,8.2,83
201,Zaza Pachulia\pachuza01,0.534,0.0,0.0,0.5379999999999999,0.778,2.0,5.9,1.9,0.8,0.5,6.1,83
202,Al Horford\horfoal01,0.489,3.1,0.429,0.514,0.7829999999999999,1.4,7.4,4.7,0.6,1.1,12.9,82
203,Al Jefferson\jeffeal01,0.534,0.1,0.0,0.541,0.833,0.8,4.0,0.8,0.4,0.6,7.0,82
204,Alex Len\lenal01,0.5660000000000001,0.0,0.33299999999999996,0.568,0.684,2.5,7.5,1.2,0.4,0.9,8.5,85
205,Amir Johnson\johnsam01,0.5379999999999999,0.4,0.313,0.57,0.612,1.7,4.5,1.6,0.6,0.6,4.6,81
206,Andre Drummond\drumman01,0.529,0.1,0.0,0.536,0.605,5.1,16.0,3.0,1.5,1.6,15.0,83
207,Aron Baynes\baynear01,0.47100000000000003,0.3,0.14300000000000002,0.48700000000000004,0.7559999999999999,1.6,5.4,1.1,0.3,0.6,6.0,82
208,Bam Adebayo\adebaba01,0.512,0.1,0.0,0.523,0.721,1.7,5.5,1.5,0.5,0.6,6.9,82
209,Bismack Biyombo\biyombi01,0.52,0.0,0.0,0.521,0.65,1.8,5.7,0.8,0.3,1.2,5.7,81
210,Brook Lopez\lopezbr01,0.465,4.4,0.345,0.5489999999999999,0.703,1.0,4.0,1.7,0.4,1.3,13.0,84
211,Channing Frye\fryech01,0.491,2.2,0.33899999999999997,0.67,0.895,0.2,2.5,0.7,0.3,0.2,5.0,84
212,Channing Frye\fryech01,0.49700000000000005,2.0,0.33299999999999996,0.684,0.9329999999999999,0.2,2.5,0.6,0.4,0.3,4.8,84
213,Clint Capela\capelca01,0.652,0.0,0.0,0.653,0.56,3.3,10.8,0.9,0.8,1.9,13.9,82
214,Cody Zeller\zelleco01,0.545,0.1,0.667,0.542,0.718,2.0,5.4,0.9,0.4,0.6,7.1,84
215,Cristiano Felicio\feliccr01,0.591,0.0,0.0,0.596,0.667,1.5,4.2,1.0,0.3,0.2,5.6,82
216,Daniel Theis\theisda01,0.541,0.9,0.31,0.617,0.753,1.4,4.3,0.9,0.5,0.8,5.3,80
217,David West\westda01,0.5710000000000001,0.1,0.375,0.5760000000000001,0.759,0.9,3.3,1.9,0.6,1.0,6.8,81
219,DeMarcus Cousins\couside01,0.47,6.1,0.354,0.53,0.746,2.2,12.9,5.4,1.6,1.6,25.2,83
220,Derrick Favors\favorde01,0.563,0.8,0.222,0.596,0.6509999999999999,2.6,7.2,1.3,0.7,1.1,12.3,82
