,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
143,Rodney Hood\hoodro01,0.42,5.7,0.359,0.47200000000000003,0.86,0.5,3.4,2.7,0.9,0.2,14.5,80
144,Sasha Vujacic\vujacsa01,0.38299999999999995,2.3,0.364,0.40299999999999997,0.821,0.4,2.4,1.4,0.6,0.1,4.9,79
145,Sean Kilpatrick\kilpase01,0.456,3.7,0.342,0.5379999999999999,0.8959999999999999,0.4,1.8,0.9,0.4,0.1,11.1,76
146,Tim Hardaway\hardati02,0.43,2.8,0.33799999999999997,0.537,0.893,0.1,1.7,1.0,0.4,0.1,6.4,78
147,Tony Allen\allento01,0.45799999999999996,0.7,0.35700000000000004,0.46799999999999997,0.652,1.6,4.6,1.1,1.7,0.3,8.4,76
148,Troy Daniels\danietr01,0.47600000000000003,2.8,0.484,0.462,0.556,0.2,1.3,0.5,0.3,0.1,5.6,76
149,Tyler Johnson\johnsty01,0.486,2.0,0.38,0.529,0.797,0.8,3.0,2.2,0.7,0.4,8.7,76
150,Victor Oladipo\oladivi01,0.43799999999999994,3.9,0.348,0.475,0.83,0.7,4.8,3.9,1.6,0.8,16.0,76
151,Vince Carter\cartevi01,0.38799999999999996,2.8,0.349,0.425,0.833,0.5,2.4,0.9,0.6,0.3,6.6,78
152,Wayne Ellington\ellinwa01,0.389,3.5,0.358,0.41600000000000004,0.857,0.3,2.3,1.1,0.6,0.1,7.7,77
153,Will Barton\bartowi01,0.43200000000000005,4.0,0.345,0.47600000000000003,0.8059999999999999,0.7,5.8,2.5,0.9,0.5,14.4,78
154,Zach LaVine\lavinza01,0.452,3.9,0.389,0.48200000000000004,0.7929999999999999,0.3,2.8,3.1,0.8,0.2,14.0,77
155,Alec Burks\burksal01,0.39899999999999997,1.8,0.32899999999999996,0.43,0.769,0.4,2.9,0.7,0.4,0.1,6.7,78
156,Alex Abrines\abrinal01,0.39299999999999996,3.6,0.381,0.426,0.898,0.3,1.3,0.6,0.5,0.1,6.0,78
157,Allen Crabbe\crabbal01,0.46799999999999997,3.8,0.444,0.49,0.847,0.2,2.9,1.2,0.7,0.3,10.7,78
158,Anthony Morrow\morroan01,0.389,2.7,0.308,0.479,0.919,0.2,0.6,0.5,0.5,0.0,5.5,77
159,Arron Afflalo\afflaar01,0.44,2.5,0.41100000000000003,0.457,0.892,0.1,2.0,1.3,0.3,0.1,8.4,77
160,Austin Rivers\riverau01,0.442,4.0,0.371,0.491,0.691,0.3,2.2,2.8,0.6,0.1,12.0,76
161,Avery Bradley\bradlav01,0.46299999999999997,5.0,0.39,0.504,0.731,1.2,6.1,2.2,1.2,0.2,16.3,74
162,Ben McLemore\mclembe01,0.43,2.8,0.382,0.462,0.753,0.3,2.1,0.8,0.5,0.1,8.1,77
163,Bradley Beal\bealbr01,0.48200000000000004,7.2,0.40399999999999997,0.5379999999999999,0.825,0.7,3.1,3.5,1.1,0.3,23.1,77
164,Brandon Knight\knighbr03,0.39799999999999996,2.6,0.324,0.425,0.857,0.5,2.2,2.4,0.5,0.1,11.0,75
165,Brandon Rush\rushbr01,0.374,2.4,0.386,0.35600000000000004,0.722,0.3,2.1,1.0,0.5,0.5,4.2,78
166,Buddy Hield\hieldbu01,0.426,4.6,0.391,0.461,0.8420000000000001,0.4,3.3,1.5,0.5,0.1,10.6,76
167,CJ McCollum\mccolcj01,0.48,5.5,0.42100000000000004,0.506,0.912,0.8,3.6,3.6,0.9,0.5,23.0,75
168,Courtney Lee\leeco01,0.456,3.5,0.401,0.49,0.867,0.7,3.4,2.3,1.1,0.3,10.8,77
169,Danny Green\greenda02,0.392,4.6,0.379,0.42,0.8440000000000001,0.5,3.3,1.8,1.0,0.8,7.3,78
170,DeAndre Liggins\liggide01,0.387,0.7,0.37,0.396,0.625,0.3,1.7,0.9,0.8,0.2,2.5,78
171,DeMar DeRozan\derozde01,0.467,1.7,0.266,0.484,0.8420000000000001,0.9,5.2,3.9,1.1,0.2,27.3,79
172,Denzel Valentine\valende01,0.354,3.6,0.35100000000000003,0.363,0.778,0.2,2.6,1.1,0.5,0.1,5.1,78
173,Devin Booker\bookede01,0.423,5.2,0.363,0.447,0.8320000000000001,0.6,3.2,3.4,0.9,0.3,22.1,78
174,Dion Waiters\waitedi01,0.424,4.7,0.395,0.43799999999999994,0.6459999999999999,0.4,3.3,4.3,0.9,0.4,15.8,76
175,Dwyane Wade\wadedw01,0.434,2.4,0.31,0.456,0.794,1.1,4.5,3.8,1.4,0.7,18.3,76
176,E'Twaun Moore\mooreet01,0.457,2.8,0.37,0.501,0.77,0.5,2.1,2.2,0.7,0.4,9.6,76
177,Eric Gordon\gordoer01,0.406,8.8,0.37200000000000005,0.46799999999999997,0.84,0.4,2.7,2.5,0.6,0.5,16.2,76
178,Evan Fournier\fournev01,0.439,5.3,0.35600000000000004,0.491,0.805,0.6,3.1,3.0,1.0,0.1,17.2,79
179,Garrett Temple\templga01,0.424,3.4,0.373,0.47600000000000003,0.784,0.5,2.8,2.6,1.3,0.4,7.8,78
180,Gary Harris\harriga01,0.502,4.5,0.42,0.5579999999999999,0.7759999999999999,0.8,3.1,2.9,1.2,0.1,14.9,76
181,Gerald Henderson\hendege02,0.423,2.4,0.353,0.455,0.8059999999999999,0.5,2.6,1.6,0.6,0.2,9.2,77
182,Hollis Thompson\thompho01,0.385,2.4,0.337,0.429,0.655,0.5,2.8,0.9,0.5,0.2,5.1,80
183,Ian Clark\clarkia01,0.48700000000000004,2.1,0.374,0.556,0.759,0.3,1.6,1.2,0.5,0.1,6.8,75
184,Iman Shumpert\shumpim01,0.41100000000000003,3.4,0.36,0.469,0.789,0.5,2.9,1.4,0.8,0.4,7.5,77
185,Isaiah Canaan\canaais01,0.364,2.4,0.266,0.48100000000000004,0.909,0.2,1.3,0.9,0.6,0.0,4.6,72
186,J.J. Redick\redicjj01,0.445,6.0,0.429,0.462,0.8909999999999999,0.1,2.2,1.4,0.7,0.2,15.0,76
187,J.R. Smith\smithjr01,0.34600000000000003,6.6,0.35100000000000003,0.32899999999999996,0.667,0.4,2.8,1.5,1.0,0.3,8.6,78
188,Jamal Crawford\crawfja01,0.413,3.9,0.36,0.44299999999999995,0.857,0.2,1.6,2.6,0.7,0.2,12.3,77
189,Jamal Murray\murraja01,0.40399999999999997,4.2,0.33399999999999996,0.466,0.883,0.5,2.6,2.1,0.6,0.3,9.9,76
190,Jason Terry\terryja01,0.43200000000000005,2.3,0.42700000000000005,0.444,0.828,0.2,1.4,1.3,0.6,0.3,4.1,74
191,Jeremy Lamb\lambje01,0.46,2.4,0.281,0.536,0.853,0.5,4.3,1.2,0.4,0.4,9.7,77
192,Jodie Meeks\meeksjo01,0.402,3.8,0.409,0.395,0.878,0.1,2.1,1.3,0.9,0.1,9.1,76
193,Joe Harris\harrijo01,0.425,4.3,0.385,0.489,0.7140000000000001,0.3,2.8,1.0,0.6,0.2,8.2,78
194,Jonathon Simmons\simmojo02,0.42,1.3,0.294,0.461,0.75,0.3,2.1,1.6,0.6,0.3,6.2,78
195,Jordan Clarkson\clarkjo01,0.445,4.3,0.32899999999999996,0.503,0.7979999999999999,0.6,3.0,2.6,1.1,0.1,14.7,77
196,Jordan McRae\mcraejo01,0.387,1.4,0.353,0.40399999999999997,0.794,0.2,1.1,0.5,0.2,0.2,4.4,77
197,Josh Richardson\richajo01,0.39399999999999996,4.3,0.33,0.444,0.779,0.7,3.2,2.6,1.1,0.7,10.2,78
198,Justin Holiday\holidju01,0.433,3.3,0.355,0.513,0.825,0.3,2.7,1.2,0.8,0.4,7.7,78
199,Kentavious Caldwell-Pope\caldwke01,0.39899999999999997,5.8,0.35,0.442,0.8320000000000001,0.7,3.3,2.5,1.2,0.2,13.8,77
200,Klay Thompson\thompkl01,0.46799999999999997,8.3,0.414,0.516,0.853,0.6,3.7,2.1,0.8,0.5,22.3,79
