FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.386,2.9,0.347,0.436,0.875,0.4,3.2,1,0.2,0.4,5.4
0.532,0.8,0.419,0.545,0.743,0.7,3.4,0.9,0.5,0.5,9.4
0.373,4.4,0.341,0.46,0.778,0.2,2.3,0.7,0.2,0.2,6.4
0.424,2.7,0.316,0.531,0.738,0.9,3.8,1.2,0.6,0.3,6.2
0.413,5.4,0.342,0.52,0.773,0.9,5.5,1.1,0.8,0.8,10.6
0.481,0.3,0.35,0.492,0.638,1.8,5.2,0.4,0.4,0.4,4.4
0.379,1,0.353,0.396,0.909,0.7,2.3,0.6,0.3,0.3,2.8
0.47,1.2,0.349,0.512,0.586,0.8,3.1,1,0.6,0.1,5.2
0.502,0.1,0.143,0.515,0.688,1.2,3.4,0.3,0.5,0.8,4.2
0.401,3.9,0.372,0.458,0.717,1,4.5,1.2,0.6,0.4,6.8
0.442,3.5,0.311,0.486,0.768,1.6,7.7,3.7,1.3,0.9,18.1
0.412,2.4,0.411,0.413,0.75,0.5,3,0.5,0.4,0.4,5.8
0.418,7,0.403,0.446,0.86,1.6,4.6,0.9,0.4,0.2,13.6
0.473,2.4,0.321,0.591,0.559,1.2,3.7,1,0.5,0.3,6.5
0.48,4,0.391,0.522,0.856,1.6,6.8,0.9,0.5,1.6,14.8
0.537,0.2,0.375,0.543,0.703,1.5,4.9,0.8,0.5,0.4,8.8
0.484,1.5,0.309,0.556,0.846,0.7,3.5,1.5,0.3,0.6,6.2
0.515,0.2,0.231,0.52,0.715,2,6.2,0.9,0.5,0.8,10.8
0.47,1.4,0.253,0.508,0.606,1.2,5.7,1.1,0.7,1,10.8
0.527,1.6,0.381,0.557,0.523,1.8,6.1,1.6,1.5,0.4,11
0.536,0,0,0.538,0.47,1.8,4.6,0.6,0.5,0.2,5
0.481,3.8,0.347,0.537,0.841,0.8,5.1,1.7,0.7,0.5,16.1
0.516,1.1,0.321,0.546,0.673,2,8,1.9,1.1,0.4,10
0.362,2.9,0.319,0.4,0.722,0.7,3.3,1,0.4,0.3,6.2
0.449,1.3,0.223,0.474,0.731,2.5,8.2,1.7,0.5,0.1,14.1
0.434,5.9,0.336,0.497,0.698,1.5,7.9,2.3,1,0.8,17.6
0.395,4.9,0.369,0.432,0.738,1.4,7.6,1.2,1.1,0.6,9.3
0.534,2.2,0.34,0.558,0.828,2.5,11.1,2.3,1.5,2.6,28.1
0.464,4.6,0.436,0.561,0.797,0.6,3.1,1.1,0.4,0.3,8.9
0.438,5.6,0.345,0.482,0.785,1.3,7.4,5.8,0.7,0.3,21.4
0.471,3.1,0.359,0.514,0.769,2.2,6.8,1.7,0.7,0.3,13.2
0.404,6.1,0.357,0.437,0.767,0.9,5.8,1.3,0.6,0.6,16.2
0.58,0,,0.58,0.758,0.9,4.1,0.4,0.2,0.4,4.9
0.453,5.1,0.393,0.501,0.86,2,6.7,2.6,0.7,0.3,14.6
0.44,3.3,0.373,0.588,0.816,0.2,2,1,0.3,0.4,5.9
0.414,5.4,0.371,0.457,0.764,1.4,6.6,2,0.8,0.4,13.5
0.386,3.9,0.366,0.426,0.765,0.5,4.4,1.6,0.3,0.6,6.5
