FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.437,0.363,0.518,0.831,2.6,1.1,1.1,0.4,11
0.441,0.342,0.484,0.733,4.4,1.7,1.5,0.5,7.2
0.402,0.311,0.475,0.854,2.2,1.1,0.5,0.1,6.4
0.409,0.344,0.556,0.738,5.7,2.2,1.8,0.3,11.7
0.437,0.29,0.524,0.656,2.3,0.8,0.9,0.3,6.2
0.405,0.356,0.429,0.75,3.4,3.1,0.9,0.2,10.3
0.394,0.378,0.418,0.765,3.1,1.8,0.8,0.5,8
0.365,0.246,0.537,0.647,2.7,0.3,0.4,0.4,2.7
0.461,0.337,0.527,0.727,6.5,2,0.7,0.4,15.7
0.336,0.354,0.321,0.59,1.5,0.5,0.3,0.2,3
0.463,0.282,0.567,0.632,3.8,3.3,0.8,0.6,6
0.438,0.331,0.475,0.643,4.4,2,1.1,0.6,17.7
0.474,0.402,0.534,0.868,3.4,1.5,0.7,0.1,14.3
0.47,0.39,0.483,0.681,5.3,3.9,0.8,0.7,16.1
0.379,0.361,0.434,0.835,2.2,0.8,0.5,0.3,10
0.435,0.347,0.48,0.711,3.7,4.2,1.2,0.3,12.1
0.484,0.368,0.586,0.565,2,0.7,0.4,0,3.9
0.462,0.421,0.504,0.63,2.5,1.9,0.5,0.3,7.9
0.451,0.345,0.541,0.596,4.1,0.7,0.5,0.4,5.7
0.444,0.411,0.535,0.866,2,1.4,0.3,0.2,7.8
0.44,0.356,0.484,0.747,3.1,1.6,0.9,0.2,11
0.467,0.426,0.497,0.79,2.5,1,0.2,0.2,7.8
0.459,0.379,0.516,0.867,3.2,2.9,0.8,0.3,17.8
0.447,0.318,0.485,0.85,3.1,2.2,0.6,0.4,8.2
0.404,0.323,0.488,0.818,3.4,1.2,0.8,0.3,9.7
0.474,0.333,0.567,0.836,3.1,1,0.7,0.3,7.1
0.475,0.434,0.492,0.826,5,1.6,1,0.7,13.9
0.467,0.44,0.516,0.795,4.2,4.8,1.1,0.2,11.5
0.406,0.276,0.493,0.889,3.1,1.5,0.3,0.1,6.8
0.417,0.263,0.464,0.634,4.6,1.5,1,0.5,13.1
0.451,0.378,0.495,0.845,3.5,2.9,1.5,0.9,12.9
0.431,0.33,0.535,0.737,2.4,0.7,0.4,0.2,6.2
0.442,0.308,0.547,0.722,2.8,1.1,0.4,0.2,6.7
0.403,0.341,0.456,0.82,4.5,1.2,1,0.4,11.8
0.466,0.359,0.517,0.884,5.2,4,1.5,0.3,20.1
0.527,0.333,0.556,0.712,5.4,2.7,1.6,0.8,7.9
0.384,0.235,0.415,0.525,3.3,1.8,0.5,0.3,3.2
0.423,0.385,0.525,0.773,1.9,0.6,0.2,0.1,5.2
0.442,0.337,0.523,0.819,3.7,1.4,1.1,0.4,9.6
0.495,0.415,0.547,0.712,2.7,0.9,0.8,0.7,6.5
0.504,0,0.505,0.684,4.1,1,0.7,0.4,9.2
0.471,0.371,0.604,0.629,2.5,0.7,0.7,0.2,5.9
0.58,0.455,0.595,0.725,3.8,1,0.3,0.4,5.7
0.503,0.441,0.537,0.828,6.4,2,1.5,0.5,14.7
0.43,0.401,0.454,0.822,5.7,3.3,2,0.5,21.9
0.346,0.336,0.355,0.76,2.4,0.9,0.4,0.3,4
0.489,0.445,0.536,0.796,2.5,1.5,0.8,0.2,11.3
0.413,0.369,0.497,0.853,5.4,2,1.7,0.9,12.6
0.472,0.241,0.491,0.788,6.8,2.5,1,0.7,13.9
0.423,0.356,0.47,0.803,3.4,1.4,0.5,0.2,5
0.375,0.286,0.439,0.772,3.7,1.6,1.4,0.2,8.7
0.498,0.222,0.523,0.757,5.1,1.3,1,0.6,19.6
0.426,0.385,0.461,0.844,4.7,2.6,1,0.5,14.1
0.492,0.381,0.551,0.815,4.2,0.9,1.4,0.3,8.2
0.375,0.335,0.431,0.793,1.4,1,0.2,0.1,5.8
0.453,0.293,0.57,0.629,3.3,0.6,0.3,0.4,4.2
0.412,0.368,0.519,0.854,4.4,1.6,1.5,0.2,11.7
0.403,0.345,0.483,0.757,2.6,1.2,0.7,0.4,5.4
0.427,0.196,0.488,0.723,2.2,0.9,0.5,0.2,3.7
0.408,0.339,0.471,0.741,2.9,0.8,1,0.8,5.4
0.406,0.381,0.441,0.822,3.1,2.7,1.2,0.3,12.7
0.445,0.358,0.501,0.772,5.4,2.1,0.6,0.5,10
