FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.474,0.35,0.509,0.854,5.3,4.9,2,0.4,22.2
0.399,0.343,0.464,0.863,1.6,0.9,0.4,0.1,6.3
0.491,0.419,0.589,0.827,3.3,1.6,0.4,0.3,10.8
0.465,0.338,0.512,0.768,3.5,2.5,0.8,0.2,13.9
0.451,0.352,0.5,0.8,2.7,2.7,0.7,0.1,13.9
0.469,0.396,0.551,0.702,4.2,1.3,0.7,0.3,7.9
0.494,0.337,0.557,0.786,4.5,6,1.5,0.8,19
0.371,0.359,0.387,0.823,4,2.1,1.1,0.4,12.2
0.42,0.394,0.438,0.796,3.8,3.5,1.5,0.7,12.9
0.426,0.383,0.473,0.789,5.2,2.2,1.4,0.2,13.4
0.488,0.44,0.526,0.837,3.8,2.5,0.8,0.5,20
0.459,0.436,0.537,0.889,2.3,1.2,0.4,0.4,9.2
0.427,0.289,0.495,0.661,5.2,2.9,0.6,0.2,9.2
0.371,0.344,0.418,0.805,1.6,1,0.6,0.1,6.2
0.435,0.359,0.484,0.88,2.5,5.3,1.1,0.2,22.6
0.443,0.415,0.463,0.855,2.4,1.7,0.6,0.2,7.6
0.36,0.342,0.385,0.842,1,1.4,0.3,0.1,6.7
0.434,0.333,0.506,0.84,2.2,2.5,0.7,0.2,8.9
0.441,0.377,0.509,0.908,1.9,1.9,0.8,0.2,12.1
0.367,0.301,0.429,0.729,3.5,4.8,1.3,0.4,10.2
0.412,0.377,0.481,0.862,1.6,0.5,0.5,0.1,7.3
0.415,0.336,0.473,0.831,4.8,5.5,1,0.4,11.6
0.39,0.4,0.37,0.724,1.6,1,0.2,0.1,4.4
0.401,0.285,0.516,0.821,1.7,1.3,0.5,0.2,5.5
0.423,0.352,0.506,0.841,2,1.1,0.3,0.3,5.4
0.409,0.238,0.503,0.765,1.4,1.4,0.8,0.2,4
0.429,0.381,0.467,0.86,2.8,1.6,0.8,0.2,14.7
0.374,0.319,0.427,0.889,1.7,0.9,0.3,0.1,6.3
0.429,0.377,0.448,0.67,1.9,0.9,0.7,0.3,3.9
0.4,0.352,0.439,0.875,2.6,0.5,0.6,0.2,4
0.414,0.333,0.612,0.9,0.8,0.3,0.4,0.2,3.1
0.421,0.317,0.516,0.816,3.9,2.7,1.1,0.2,17.5
0.523,0.465,0.544,0.781,3.2,3.9,0.7,0.2,7.2
0.435,0.403,0.49,0.792,1.9,1.3,0.6,0.4,6.9
0.434,0.412,0.452,0.695,1.9,0.9,0.5,0,4.3
0.403,0.4,0.419,0.875,1.6,0.6,0.3,0.1,8.9
0.377,0.362,0.393,0.714,2.3,1.4,0.3,0.1,7.2
0.477,0.371,0.528,0.799,5.2,4.3,2.4,0.8,23.1
0.407,0.392,0.479,0.859,2.8,1,0.7,0.1,11.2
0.431,0.402,0.456,0.746,1.6,1.9,0.5,0.1,9.3
0.452,0.37,0.51,0.805,5,4.1,1,0.6,15.7
0.426,0.373,0.477,0.796,3,2.5,0.8,0.1,10.2
